WATERSHED_ID,Date,Precipitation,Evapotranspiration,Water_Balance_delta_S
SWB_00004,01.01.2016,"32,40","11,30","21,10"
SWB_00004,01.02.2016,"6,70","12,00","-5,30"
SWB_00004,01.03.2016,"55,90","22,70","33,20"
SWB_00004,01.04.2016,"50,60","29,60","21,00"
SWB_00004,01.05.2016,"42,70","33,60","9,10"
SWB_00004,01.06.2016,"17,60","29,50","-11,90"
SWB_00004,01.07.2016,"9,40","22,50","-13,10"
SWB_00004,01.08.2016,"4,40","16,70","-12,30"
SWB_00004,01.09.2016,"7,90","11,70","-3,80"
SWB_00004,01.10.2016,"12,20","10,80","1,40"
SWB_00004,01.11.2016,"25,80","8,50","17,30"
SWB_00004,01.12.2016,"35,50","9,40","26,10"
SWB_00004,01.01.2017,"38,80","7,30","31,50"
SWB_00004,01.02.2017,"49,20","9,70","39,50"
SWB_00004,01.03.2017,"47,40","20,80","26,60"
SWB_00004,01.04.2017,"43,90","29,70","14,20"
SWB_00004,01.05.2017,"22,00","31,60","-9,60"
SWB_00004,01.06.2017,"9,50","24,60","-15,10"
SWB_00004,01.07.2017,"7,50","22,00","-14,50"
SWB_00004,01.08.2017,"3,00","16,30","-13,30"
SWB_00004,01.09.2017,"5,10","9,60","-4,50"
SWB_00004,01.10.2017,"12,80","10,00","2,80"
SWB_00004,01.11.2017,"13,60","7,10","6,50"
SWB_00004,01.12.2017,"21,00","7,30","13,70"
SWB_00004,01.01.2018,"15,40","7,60","7,80"
SWB_00004,01.02.2018,"37,70","10,00","27,70"
SWB_00004,01.03.2018,"45,00","22,10","22,90"
SWB_00004,01.04.2018,"36,20","23,70","12,50"
SWB_00004,01.05.2018,"32,60","24,00","8,60"
SWB_00004,01.06.2018,"5,70","22,50","-16,80"
SWB_00004,01.07.2018,"5,00","22,00","-17,00"
SWB_00004,01.08.2018,"3,80","16,50","-12,70"
SWB_00004,01.09.2018,"4,90","10,30","-5,40"
SWB_00004,01.10.2018,"26,50","10,50","16,00"
SWB_00004,01.11.2018,"28,20","8,70","19,50"
SWB_00004,01.12.2018,"16,30","7,40","8,90"
SWB_00004,01.01.2019,"48,30","12,30","36,00"
SWB_00004,01.02.2019,"40,10","11,50","28,60"
SWB_00004,01.03.2019,"43,20","21,70","21,50"
SWB_00004,01.04.2019,"61,90","29,80","32,10"
SWB_00004,01.05.2019,"20,50","29,60","-9,10"
SWB_00004,01.06.2019,"17,90","25,50","-7,60"
SWB_00004,01.07.2019,"5,40","25,60","-20,20"
SWB_00004,01.08.2019,"2,80","18,20","-15,40"
SWB_00004,01.09.2019,"3,40","11,80","-8,40"
SWB_00004,01.10.2019,"14,60","9,10","5,50"
